cell_id,group,cluster,c_gini,group2
SRR089523,A2,4,0.2152,A
SRR089526,A3,5,0.1732,A
SRR089529,D,1,0.1416,D
SRR089533,D,1,0.1496,D
SRR089542,PA,6,0.198,PA
SRR089550,D,1,0.1124,D
SRR089561,D,1,0.088,D
SRR089564,D,1,0.0786,D
SRR089568,D,1,0.0822,D
SRR089573,D,1,0.0906,D
SRR089577,D,1,0.0954,D
SRR089578,D,1,0.0922,D
SRR089580,D,1,0.0764,D
SRR089583,D,1,0.1126,D
SRR089586,D,1,0.0774,D
SRR089589,PA,6,0.2034,PA
SRR089591,D,1,0.1104,D
SRR089592,D,1,0.0952,D
SRR089593,D,1,0.0712,D
SRR089594,D,1,0.0882,D
SRR089595,D,1,0.0798,D
SRR089596,D,1,0.0794,D
SRR089597,D,1,0.0714,D
SRR089598,D,1,0.0892,D
SRR089599,D,1,0.0994,D
SRR089600,D,1,0.0848,D
SRR089601,D,1,0.0814,D
SRR089602,D,1,0.112,D
SRR089603,D,1,0.1266,D
SRR089604,D,1,0.1054,D
SRR089605,D,1,0.0892,D
SRR089606,D,1,0.0828,D
SRR089607,D,1,0.0986,D
SRR089608,D,1,0.0978,D
SRR089609,D,1,0.103,D
SRR089610,D,1,0.0842,D
SRR089646,PA,7,0.2052,PA
SRR089659,PA,7,0.2,PA
SRR089662,PA,7,0.1998,PA
SRR089663,PA,7,0.2054,PA
SRR089664,PA,7,0.2018,PA
SRR089665,PA,7,0.2002,PA
SRR089666,PA,7,0.2242,PA
SRR089694,PA,7,0.214,PA
SRR089695,PA,7,0.2182,PA
SRR089696,PA,7,0.2192,PA
SRR089697,PA,7,0.2028,PA
SRR089698,PA,7,0.2126,PA
SRR089699,PA,7,0.193,PA
SRR089700,PA,7,0.2412,PA
SRR089701,PA,7,0.2294,PA
SRR089702,PA,7,0.2146,PA
SRR089705,D,1,0.1088,D
SRR089706,D,1,0.1372,D
SRR089707,D,1,0.117,D
SRR089708,D,1,0.1052,D
SRR089709,D,1,0.124,D
SRR089710,D,1,0.088,D
SRR089711,D,1,0.0858,D
SRR089712,D,1,0.104,D
SRR089713,D,1,0.1042,D
SRR089714,D,1,0.091,D
SRR089715,D,1,0.1284,D
SRR089716,D,1,0.1028,D
SRR089717,A1,2,0.436,A
SRR089719,D,1,0.0938,D
SRR089722,D,1,0.1016,D
SRR089730,D,1,0.0972,D
SRR089731,D,1,0.1092,D
SRR089733,D,1,0.0798,D
SRR089748,MA,3,0.209,MA
SRR089749,D,1,0.1252,D
SRR089750,D,1,0.0918,D
SRR089751,D,1,0.1106,D
SRR089752,D,1,0.1092,D
SRR089753,D,1,0.095,D
SRR089754,D,1,0.0978,D
SRR089755,D,1,0.1016,D
SRR089756,MA,3,0.2058,MA
SRR089757,MA,3,0.2212,MA
SRR089817,MA,3,0.2046,MA
SRR090126,MA,3,0.2114,MA
SRR090129,MA,3,0.2084,MA
SRR090130,MA,3,0.2038,MA
SRR090131,MA,3,0.2062,MA
SRR090133,MA,3,0.2056,MA
SRR090135,MA,3,0.209,MA
SRR090142,MA,3,0.2034,MA
SRR090144,MA,3,0.2036,MA
SRR090155,MA,3,0.2044,MA
SRR090156,MA,3,0.1956,MA
SRR090158,MA,3,0.201,MA
SRR090159,MA,3,0.204,MA
SRR090198,MA,3,0.2196,MA
SRR090206,MA,3,0.2056,MA
SRR090209,MA,3,0.2204,MA
SRR090210,MA,3,0.213,MA
SRR090211,MA,3,0.2342,MA
SRR090212,MA,3,0.1948,MA
SRR090213,MA,3,0.2216,MA
